Pesel	data_wyk	kod_wyk
48011656289	2014-04-09	18
53032143221	2014-01-01	18
50062925171	2014-01-02	18
60021281905	2014-01-02	18
81022050615	2014-01-02	18
80053118781	2014-01-02	18
48020465470	2014-01-03	18
60050201073	2014-01-05	18
60070956944	2014-02-07	18
61052704540	2014-03-18	18
89021744366	2014-05-01	18
77010957251	2014-05-09	18
62051358846	2014-05-17	18
66040707105	2014-01-03	19
81022050615	2014-01-05	19
78041199586	2014-02-07	19
81060856477	2014-03-18	19
47052186876	2014-05-02	19
55081325955	2014-05-10	19
82041301001	2014-05-17	19
53032333871	2014-01-04	20
78012102298	2014-01-06	20
81040446764	2014-02-07	20
78041199586	2014-03-19	20
49021050432	2014-05-02	20
79022915915	2014-05-10	20
79030778655	2014-05-18	20
79020151742	2014-01-04	21
53040550895	2014-01-07	21
70012069658	2014-02-08	21
51031812876	2014-03-20	21
62062960669	2014-05-02	21
80082431877	2014-05-10	21
56042492334	2014-05-19	21
47052186876	2014-01-05	22
60050547348	2014-01-08	22
54020611490	2014-02-09	22
54051014059	2014-03-20	22
79022707767	2014-05-02	22
62041460045	2014-05-11	22
66082130060	2014-05-19	22
76070490328	2014-01-08	24
60071127932	2014-02-10	24
80053168557	2014-03-20	24
82030192845	2014-05-02	24
75012175826	2014-05-11	24
62051358846	2014-05-20	24
81011910685	2014-01-08	25
76081894436	2014-02-10	25
48080940272	2014-03-21	25
89022489744	2014-05-02	25
82032296660	2014-05-11	25
77011711562	2014-05-20	25
70020456516	2014-01-08	26
81041210009	2014-02-10	26
61062963757	2014-03-21	26
55081052660	2014-05-04	26
55081325955	2014-05-13	26
82041369274	2014-05-20	26
50062925171	2014-01-09	28
78052821517	2014-02-11	28
81062099545	2014-03-21	28
70020801408	2014-01-09	29
79061091566	2014-02-11	29
54072239147	2014-03-23	29
48020465470	2014-01-10	30
54020611490	2014-02-12	30
78052821517	2014-03-23	30
73060270296	2014-12-03	30
60050671713	2014-12-13	30
66080201887	2014-12-22	30
74052463812	2014-12-30	30
