pesel	id_pok
92051048757	8
92051861424	32
92052033215	66
92052877491	47
92052999663	3
92060349478	9
92060618813	65
92060816563	22
92060863855	1
92061083359	21
92061754985	62
92061937214	55
92062548936	18
92062762152	60
92062962545	6
92070111188	32
92070336152	64
92070952712	62
92071176944	21
92072355391	42
92072589329	16
92080361249	48
92080864292	67
92081076313	44
92081119933	41
92081817558	44
92081982469	68
92090349976	34
92100661849	2
92101543816	22
92103163461	10
92111027117	53
92111479877	32
92112571134	62
92112635683	56
92121027392	50
92121586455	33
92122718336	53
92122755816	55
92122899246	44
93010287374	9
93011731988	63
93012248937	51
93012423916	47
93013078979	1
93020294887	43
93020344452	21
93020492353	67
93020984197	19
93021324462	51
93021966581	13
93022138167	33
93031176282	37
93031426752	59
93031439697	22
93031562344	61
93031853565	40
93031922166	18
93032549924	25
93041061585	51
93041252815	13
93041271841	46
93041329773	55
93041967867	5
93042094111	46
93042372947	33
93042594253	17
93051494722	59
93052164592	33
93052321317	33
93052712924	12
93052759398	7
93060314174	60
93060626866	52
93060757559	46
93061087466	68
93061243679	32
93061564929	24
93062061135	62
93070995479	5
93071912839	11
93072382295	57
93080133818	67
93080136224	25
93080261416	26
93080464147	26
93081269666	62
93081336463	8
93081892851	26
93082456168	32
93090575941	21
93090925753	9
93091115319	1
93091278935	50
93091575513	4
93091812971	51
93092337785	24
93092435575	51
93092663774	65
93101369477	46
93101749226	65
93102056134	10
93102651636	43
93110169918	17
93110195784	28
93110591337	54
93111079234	32
93111422865	4
93112296421	42
93112747286	1
93120854668	53
93120948925	48
93122038392	34
93122174335	14
93123086325	50
94010593869	36
94011095964	36
94012177294	53
94012331191	56
94012833877	42
94020179251	25
94020355996	55
94020368381	55
94020462177	4
94020859896	69
94021031192	47
94022461945	68
94030283737	1
94030588351	34
94031061512	68
94031766363	17
94031972793	4
94032585554	37
94032747169	30
94040669736	25
94041273536	63
94041715238	56
94042061826	6
94042538867	67
94050341862	34
94050415987	3
94050582715	45
94051599561	39
94051786439	18
94051886221	8
94051893894	29
94052013633	17
94052063812	34
94052327952	3
94052812232	20
94060394564	18
94062364747	14
94062767281	56
94062811591	49
94070167664	53
94070444888	43
94072349563	55
94072628581	36
94080228692	70
94080448661	45
94080681844	27
94080977152	29
94081134358	16
94081268846	26
94082215991	27
94082711312	62
94083048134	21
94091089918	32
94091411788	33
94091495359	20
94091517385	59
94091751347	34
94092286956	44
94093037193	51
94100357838	7
94100835552	27
94102052458	69
94103033254	27
94111993425	45
94112234831	54
94112973718	66
94121421336	25
94121925755	4
94122135195	8
94123156375	62
95010144314	45
95010286766	47
95010919439	7
95010931895	63
95011221717	37
95011368836	69
95012344439	65
95012636248	69
95020584568	52
95021137376	17
95022151559	39
95022812243	23
95030373332	43
95030438448	51
95031582894	49
95040576286	35
95041132892	21
95041645299	27
95042088338	15
95042249539	41
95042653121	6
95050162572	48
95050294464	51
95051277866	6
95051878845	32
95052836383	62
95052939154	15
95053039198	27
95060298582	14
95061884197	54
95062252193	27
95062355629	69
95071044176	22
95071489133	15
95071627434	13
95071674573	56
95080577175	28
95081712847	64
95082916158	50
95090322493	63
95091292595	53
95091617358	32
95092124468	10
95092172959	62
95092264276	50
95092628511	31
95101084297	64
95101667241	14
95103086594	51
95111035621	58
95111457382	22
95111492877	13
95111824241	58
95112489689	19
95112894814	48
95120191648	2
95120487536	28
95120591417	27
95120745656	53
95122261156	6
95122344488	52
95122598863	35
95123151452	69
96011223945	68
96011338285	13
96011788721	44
96012247623	68
96021765853	14
96022049899	24
96022327144	44
96030997362	30
96031551327	19
96032965482	17
96040333314	4
96041586933	47
96041717944	39
96042084485	16
96042123681	41
96043095419	32
96050286545	63
96050379498	34
96050419725	43
96050641553	56
96051078792	50
96051111367	15
96051135916	19
96051572319	39
96051865921	53
96052561949	54
96052982418	68
96060783968	43
96061044486	34
96061094795	55
96061777722	18
96062773598	57
96070166834	61
96070825977	17
96072293545	67
96080514843	45
96081092979	9
96081684932	53
96081771827	1
96081928342	23
96082398784	40
96082593622	32
96090264886	18
96090634229	48
96090866484	4
96090923899	69
96091269286	35
96092746489	52
96092784458	45
96102819712	56
96110243976	8
96110878613	42
96111514855	5
96111524476	23
96111917733	31
96112171271	51
96112275739	22
96112845442	31
96120158756	21
96120239628	3
96121964255	6
96122014799	67
96122095251	32
96122279451	62
97010159347	32
97010621727	28
97010812385	7
97010983179	13
97011693781	70
97012853362	36
97012894365	43
97020245331	66
97020963358	70
97021392858	13
97021486467	5
97022426727	32
97022784472	51
