pesel	nazwisko	imie
92051048757	BAJOREK	JAKUB
92051861424	SLOTARZ	MARIANNA
92052033215	WNUK	SZYMON
92052877491	LESKO	WOJCIECH
92052999663	WACHOWIAK	ANNA
92060349478	JASTRZEBSKI	IGNACY
92060618813	CICHON	ADRIAN
92060816563	LUKASZEWICZ	PAULA
92060863855	RATAJCZAK	OLIWIER
92061083359	PLISZKA	ADAM
92061754985	KASZUBOWSKA	ANTONINA
92061937214	MORAWIEC	DAWID
92062548936	OGONOWSKA	JULIUSZ
92062762152	SZYMONIAK	JAN
92062962545	SIUDYM	KATARZYNA
92070111188	SASOR	AMELIA
92070336152	KLOC	DAWID
92070952712	SMOLEN	JACEK
92071176944	STOLARZ	KATARZYNA
92072355391	SALA	JACEK
92072589329	MODZELEWSKA	MARTYNA
92080361249	WOROBIJ	STANISLAWA
92080864292	NAPORA	MAREK
92081076313	SLADOWSKI	MICHAL
92081119933	LIZON	NATANAEL
92081817558	SANKALA	JOZEF
92081982469	GRZEGOREK	ANNA
92082477625	ZALESKA	JULIA
92090349976	CIBOROWSKI	EDWARD
92100661849	PIATKOWSKA	EWA
92101543816	CWIKLA	MARIAN
92103163461	BLASZCZYK	MONIKA
92111027117	SIERON	LECH
92111479877	TUCHOLSKI	DAWID
92112571134	MENDRELA	ARTUR
92112635683	ANTOLAK	MALGORZATA
92121027392	SPIEWAK	RAFAL
92121586455	CIECHANOWICZ	WOJCIECH
92122718336	PIEKUT	SZYMON
92122755816	NEUMANN	MAREK
92122899246	MALESA	GABRIELA
93010287374	SWIERCZYNSKI	JANUSZ
93011731988	KORCZAK	AMELIA
93012248937	PIWKOWSKI	EUGENIUSZ
93012423916	CIESLA	KRZYSZTOF
93013078979	WOLANIN	BARTOSZ
93020294887	RZYMANECKA	SONIA
93020344452	BORYS	MAREK
93020492353	DANIELAK	FRANCISZEK
93020984197	KEPARA	MICHAL
93021324462	PATER	ZOFIA
93021966581	PEPLIN	ALICJA
93022138167	BIALEK	ZOFIA
93031176282	KIES	KATARZYNA
93031426752	MARCINKIEWICZ	ADAM
93031439697	GRYJGIER	RAFAL
