lp	pesel	tytul
1	92061083359	FIZYKA TECHNICZNA I
2	94103033254	PROGRAMOWANIE MIKROKONTROLEROW I
3	92071176944	ANALIZA MATEMATYCZNA I
4	93022138167	AUTOMATYKA II
5	95010144314	TESTY PENETRACYJNE SIECI WIFI
6	97010159347	TESTY PENETRACYJNE SIECI WIFI
7	92122899246	WSTEP DO CSS3 I HTML5
8	95010931895	AUDYT BEZPIECZENSTWA SIECI
9	93101749226	OPTYMALIZACJA ALGORYTMOW II
10	95120191648	FIZYKA CIALA STALEGO II
11	93052164592	AUTOCAD DOBRE PRAKTYKI
12	94031061512	TECHNOLOGIA LITOGRAFII 20NM
13	93092663774	ALGERBA II
14	93072382295	ALGERBA I
15	96120239628	ALGERBA I
16	96041586933	JAK DZIALA LINUX
17	94020355996	RELACYJNE BAZY DANYCH I
18	95022151559	ANALIZA MATEMATYCZNA II
19	94012833877	ELEKTRONIKA CYFROWA I
20	95052939154	GRAFIKA KOMPUTEROWA II
21	93052712924	AUTOMATYKA I
22	93112747286	AUTOCAD DOBRE PRAKTYKI
23	95091292595	ALGORYTMY BEZ TAJEMNIC
24	95012636248	AUTOCAD DOBRE PRAKTYKI
25	95112489689	GRAFIKA KOMPUTEROWA I
26	93060626866	LINUX KSIEGA ADMINISTRATORA I
27	96122279451	WSTEP DO TEORII LICZB
28	97021486467	TEORIA GRAFOW
29	95062355629	STEROWNIKI PRZEMYSLOWE II
30	92052999663	TEORIA GRAFOW
31	93031426752	FIZYKA CIALA STALEGO III
32	94041715238	PODSTAWY KRYPTOGRAFII II
33	95010919439	MERNICTWO ELEKTRYCZNE II
34	93110591337	TRANSMISJA DVB-T DVB-C I DVB-S
35	95062252193	FLASH I PHP
36	95030373332	OPTYMALIZACJA ALGORYTMOW I
37	93122174335	AUDYT BEZPIECZENSTWA SIECI
38	95042249539	MERNICTWO ELEKTRYCZNE II
39	92080361249	CHEMIA KWANTOWA I
40	96092746489	ELEKTRONIKA CYFROWA II
41	93102056134	ALGERBA I
42	95091617358	TESTY PENETRACYJNE SIECI WIFI
43	93020344452	PROGRAMOWANIE MIKROKONTROLEROW II
44	94100357838	FIZYKA CIALA STALEGO III
45	95041132892	LINUX KSIEGA ADMINISTRATORA I
46	94091751347	ALGORYTMY GENETYCZNE
47	94060394564	HACKING SZTUKA PENETRACJI
48	92111479877	RELACYJNE BAZY DANYCH II
49	96050379498	ALGORYTMY GENETYCZNE
50	94080228692	METODY NUMERYCZNE II
51	93061564929	GRAFIKA KOMPUTEROWA III
52	95120591417	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO I
53	92121027392	TESTOWANIE UKLADOW VLSI
54	93081269666	STEROWNIKI PRZEMYSLOWE I
55	93110195784	OPTYMALIZACJA ALGORYTMOW II
56	97021392858	TEORIA GRAFOW
57	95051277866	TESTY PENETRACYJNE SIECI WIFI
58	92051048757	TECHNOLOGIA LITOGRAFII 20NM
59	94040669736	GRAFIKA KOMPUTEROWA II
60	94092286956	KANONY WIEDZY PROGRAMISTYCZNEJ
61	95071627434	ALGERBA III
62	93031176282	KATALOG CYFROWYCH UKLADOW SCALONYCH
63	93120948925	PROGRAMOWANIE MIKROKONTROLEROW II
64	96092278614	APARATURA POMIAROWA
65	96072293545	ALGERBA II
66	92062962545	101 ZABEZPIECZEN PRZED ATAKAMI W SIECI KOMPUTEROWEJ
67	94091089918	ZLACZA ELEKTRYCZNE I ELEKTRONICZNE
68	94022461945	ALGERBA II
69	94020179251	HACKING SZTUKA PENETRACJI
70	94112973718	AUTOCAD DOBRE PRAKTYKI
71	95092264276	TESTOWANIE UKLADOW VLSI
72	95111035621	AUTOMATYKA III
73	95060298582	GRAFIKA KOMPUTEROWA II
74	96070825977	STEROWNIKI PRZEMYSLOWE II
75	93102651636	FLASH I PHP
76	95020584568	TEORIA GIER
77	94080977152	ANSI C
78	93090575941	SYSTEMY OPERACYJNE
79	93061087466	SIECI NEURONOWE
80	96070166834	MATEMATYKA DYSKRETNA II
81	96082398784	CHEMIA KWANTOWA I
82	97012894365	ELEKTRONIKA CYFROWA I
83	97021392858	JEZYKI PROGRAMOWANIA II
84	93031562344	OPTYMALIZACJA ALGORYTMOW I
85	95071489133	ANALIZA MATEMATYCZNA II
86	97021392858	METODY NUMERYCZNE II
87	96111917733	TEORIA GIER
88	94050582715	FIZYKA CIALA STALEGO II
89	94082215991	ANSI C
90	92060618813	GRAFIKA KOMPUTEROWA III
91	96030997362	BIBLIA ASSEMBLERA II
92	95051878845	TESTY PENETRACYJNE SIECI WIFI
93	97011693781	CHEMIA KWANTOWA II
94	94070167664	WSTEP DO CSS3 I HTML5
95	96041717944	PHP I MYSQL
96	96031551327	ROBOTYKA II
97	95080577175	ELEKTRONIKA ANALOGOWA I
98	95122261156	RELACYJNE BAZY DANYCH II
99	93082456168	APARATURA POMIAROWA
100	93080136224	TESTY PENETRACYJNE SIECI WIFI
101	95041645299	JEZYKI PROGRAMOWANIA I
102	96072293545	ALGERBA I
103	93092337785	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO I
104	92062762152	FIZYKA TECHNICZNA I
105	93060757559	ROBOTYKA II
106	94111993425	PROGRAMOWANIE MIKROKONTROLEROW II
107	96120158756	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO I
108	94052013633	SIECI NEURONOWE
109	96051135916	TESTOWANIE UKLADOW VLSI
110	96092784458	LINUX KSIEGA ADMINISTRATORA I
111	94080448661	METODY NUMERYCZNE I
112	96110878613	C# I .NET
113	93010287374	JEZYKI PROGRAMOWANIA II
114	93041061585	RELACYJNE BAZY DANYCH III
115	93011731988	CHEMIA KWANTOWA I
116	92122755816	SIECI NEURONOWE
117	96012247623	CHEMIA FIZYCZNA
118	94081134358	KANONY WIEDZY PROGRAMISTYCZNEJ
119	95111457382	TESTY PENETRACYJNE SIECI WIFI
120	92070336152	WSTEP DO CSS3 I HTML5
121	94011095964	AUTOMATYKA I
122	94051893894	ROBOTYKA I
123	94091517385	TESTY PENETRACYJNE SIECI WIFI
124	95120745656	FLASH I PHP
125	93041271841	FIZYKA TECHNICZNA I
126	94051599561	AUTOMATYKA I
127	93070995479	JEZYKI PROGRAMOWANIA II
128	95050162572	BIBLIA ASSEMBLERA I
129	97022426727	PODSTAWY KRYPTOGRAFII I
130	92081119933	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO I
131	96051865921	ELEKTRONIKA CYFROWA I
132	94042538867	APARATURA POMIAROWA
133	94052063812	MIKROKONTROLERY AVR
134	93112296421	FIZYKA CIALA STALEGO II
135	92122718336	CHEMIA FIZYCZNA
136	93060314174	CHEMIA KWANTOWA II
137	93071912839	ANALIZA MATEMATYCZNA II
138	96112171271	WSTEP DO TEORII LICZB
139	92112571134	TEORIA GRAFOW
140	94041273536	MATEMATYKA DYSKRETNA I
141	94122135195	101 ZABEZPIECZEN PRZED ATAKAMI W SIECI KOMPUTEROWEJ
142	96060783968	FIZYKA CIALA STALEGO II
143	92081076313	PROGRAMOWANIE WSPOLBIEZNE
144	96112845442	FIZYKA CIALA STALEGO II
145	93020492353	PODSTAWY KRYPTOGRAFII I
146	94062811591	ANALIZA I KOREKCJA BLEDOW
147	94102052458	MATEMATYKA DYSKRETNA II
148	93110169918	ROBOTYKA I
149	92101543816	ANSI C
150	96043095419	PROGRAMOWANIE URZADZEN MOBILNYCH
151	94062364747	TEORIA GIER
152	94042061826	ALGERBA II
153	95042653121	TESTOWANIE UKLADOW VLSI
154	96081771827	FIZYKA CIALA STALEGO III
155	94091495359	ANALIZA I KOREKCJA BLEDOW
156	95010286766	TEORIA GRAFOW
157	97010621727	TECHNOLOGIA LITOGRAFII 20NM
158	94031766363	AUTOCAD DOBRE PRAKTYKI
159	95111824241	ANALIZA MATEMATYCZNA II
160	92103163461	GRAFIKA KOMPUTEROWA I
161	93052321317	C# I .NET
162	96050286545	STEROWNIKI PRZEMYSLOWE I
163	92100661849	METODY NUMERYCZNE II
164	94081268846	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO II
165	95101084297	ANALIZA MATEMATYCZNA I
166	96021765853	FIZYKA TECHNICZNA I
167	96042123681	ELEKTRONIKA ANALOGOWA I
168	93052759398	ANALIZA ZLOZONYCH PROCESOW TECHNOLOGICZNYCH
169	93101369477	PODSTAWY KRYPTOGRAFII I
