Id_zdajacego;Nazwisko;Imie;PESEL;Data_urodzenia
1;Nizinska;Ewelina;94011301221;1994-01-13
2;Bek;Jan;94032901531;1994-03-29
3;Marciniak;Anna;95070301788;1995-07-03
4;Bajda;Maria;95080701123;1995-08-07
5;Szymanski;Marcin;95060702332;1995-06-07
6;Pietrzyk;Zofia;94090706443;1994-09-07
7;Kos;Adam;93053108576;1993-05-31
8;Bosman;Kinga;95111501663;1995-11-15
9;Czacki;Dawid;95121603571;1995-12-16
10;Sycowski;Tadeusz;95092506237;1995-09-25
11;Makowicz;Magda;95082205323;1995-08-22
12;Helska;Marzena;93041102445;1993-04-11
13;Mielecki;Adam;95070101113;1995-07-01
14;Pietruszka;Paulina;93052303127;1993-05-23
15;Baran;Marcin;95042708476;1995-04-27
16;Szczygielski;Tomasz;95021202332;1995-02-12
17;Nowak;Pawel;94112802579;1994-11-28
18;Otwinowska;Tekla;94072703223;1994-07-27
19;Banasik;Stefan;95062106477;1995-06-21
20;Walec;Piotr;95080809278;1995-08-08
21;Banasik;Ewelina;95081702465;1995-08-17
22;Zak;Ewa;95010501227;1995-01-05
23;Podlaski;Adam;95091008231;1995-09-10
24;Sitarek;Jan;95100806556;1995-10-08
25;Zalicki;Marcin;95102302135;1995-10-23
26;Goslawska;Ewelina;96052803881;1996-05-28
27;Augustyn;Paulina;95061809645;1995-06-18
28;Domek;Grzegorz;95120901679;1995-12-09
29;Domanski;Ludwik;95041006436;1995-04-10
30;Celej;Krzysztof;95030603118;1995-03-06
31;Adamski;Michal;94031502897;1994-03-15
32;Jasiak;Stefan;95040808338;1995-04-08
33;Lasota;Ewa;95032609685;1995-03-26
34;Malec;Antoni;96022801675;1996-02-28
35;Badowski;Norbert;95122202891;1995-12-22
36;Mech;Borys;95100105336;1995-10-01
37;Bugajska;Dorota;94030609565;1994-03-06
38;Wysocka;Justyna;95011201447;1995-01-12
39;Baranska;Joanna;96080702225;1996-08-07
40;Misztal;Zofia;95020306588;1995-02-03
41;Henrykowski;Henryk;93121103431;1993-12-11
42;Lipka;Maja;94012008664;1994-01-20
43;Rybicka;Maria;94012702345;1994-01-27
44;Bosman;Andrzej;95031606336;1995-03-16
45;Lipowski;Konrad;93032601894;1993-03-26
46;Barszcz;Tomasz;95112101335;1995-11-21
47;Aderek;Ewa;93080501262;1993-08-05
48;Nowakowski;Marek;96092202316;1996-09-22
49;Czerwinski;Edward;94031706676;1994-03-17
50;Anusz;Adam;95122203012;1995-12-22
51;Badowski;Fryderyk;95021101033;1995-02-11
52;Bartkowski;Tomasz;94011301211;1994-01-13
53;Bartlet;Jan;94032901531;1994-03-29
54;Bartlewicz;Karol;95070301718;1995-07-03
55;Bartlomiejczak;Aleksandra;95080701123;1995-08-07
56;Bartosik;Tomasz;95060702332;1995-06-07
57;Bartosik;Waclaw;94090706433;1994-09-07
58;Bartosinska;Krystyna;93053108546;1993-05-31
59;Bartosinski;Marceli;95111501633;1995-11-15
60;Bartosz;Beata;95121603521;1995-12-16
61;Bartosz;Maria;95092506227;1995-09-25
62;Jablko;Irena;95082205323;1995-08-22
63;Jablonka;Anna;93041102445;1993-04-11
64;Jablonowska;Maria;95070101123;1995-07-01
65;Jablonowska;Natalia;93052303127;1993-05-23
66;Jablonowski;Juliusz;95042708476;1995-04-27
67;Jablonski;Ryszard;95021202332;1995-02-12
68;Malachowski;Waclaw;94112802579;1994-11-28
69;Malecki;Tomasz;94072703213;1994-07-27
70;Malaczek;Jan;95062106477;1995-06-21
71;Malaczewska;Teresa;95080809228;1995-08-08
72;Malafiej;Bogdan;95081702435;1995-08-17
73;Malanowska;Maria;95010501227;1995-01-05
74;Malas;Piotr;95091008231;1995-09-10
75;Malasiuk;Alicja;95100806526;1995-10-08
76;Malaszek;Tomasz;95102302135;1995-10-23
77;Malaszewicz;Robert;96052803811;1996-05-28
78;Malaszewska;Irena;95061809645;1995-06-18
79;Malaszkiewicz;Piotr;95120901679;1995-12-09
80;Malawy;Borys;95041006436;1995-04-10
81;Malcuzynski;Karol;95030603118;1995-03-06
82;Malczak;Piotr;94031502897;1994-03-15
83;Malczewski;Max;95040808338;1995-04-08
84;Malczuk;Janina;95032609685;1995-03-26
85;Malczynska;Magdalena;96022801625;1996-02-28
86;Malachowski;Witold;95122202891;1995-12-22
87;Maleczek;Jakub;95100105336;1995-10-01
88;Wiliczewska;Teresa;94030609565;1994-03-06
89;Poranowska;Maria;95011201447;1995-01-12
90;Malas;Jan;96080702215;1996-08-07
91;Malasik;Aldona;95020306588;1995-02-03
92;Malaszek;Kamil;93121103431;1993-12-11
93;Malaszewicz;Jan;94012008614;1994-01-20
94;Malaszewska;Natalia;94012702345;1994-01-27
95;Malasz;Piotr;95031606336;1995-03-16
96;Malcha;Eugeniusz;93032601894;1993-03-26
97;Malecki;Konrad;95112101335;1995-11-21
98;Maly;Piotr;93080501212;1993-08-05
99;Kownacki;Zbigniew;96091002316;1996-09-10
100;Kownas;Krzysztof;94031706676;1994-03-17
101;Kowrigin;Michal;95122203012;1995-12-22
102;Kowrus;Grazyna;95021101023;1995-02-11
103;Kowtun;Jerzy;95031606336;1995-03-16
104;Kowzan;Franciszek;93032601894;1993-03-26
105;Pilacki;Marek;95112101335;1995-11-21
106;Pilak;Pawel;93080501212;1993-08-05
107;Pilarczyk;Arkadiusz;96090102316;1996-09-01
108;Pilarek;Natalia;94031706626;1994-03-17
109;Pilarowski;Stanislaw;95122203012;1995-12-22
110;Pilars;Jan;95021101033;1995-02-11
111;Pilarska;Maria;94011301221;1994-01-13
112;Nowocin;Stefania;94032901521;1994-03-29
113;Nowocinski;Krzysztof;95070301718;1995-07-03
114;Nowodworski;Jerzy;95080701113;1995-08-07
115;Nowogorska;Barbara;95060702322;1995-06-07
116;Nowogorski;Jan;94090706433;1994-09-07
117;Nowogrodzka;Maria;93053108546;1993-05-31
118;Nowojewska;Elzbieta;95111501623;1995-11-15
119;Nowomiejska;Malgorzata;95121603521;1995-12-16
