Nazwisko;Imie;Data_urodz;Miejsce_zamieszkania
Czarnecka;Ewelina;1960-10-01;srednie miasto
Nesterowicz;Piotr;1984-09-27;wies
Adamus;Magdalena;1967-10-08;duze miasto
Kowalski;Hubert;1986-05-12;wies
Zamojska;Maria;1962-05-14;wies
Matecki;Adam;1986-10-09;duze miasto
Potocki;Anna;1991-11-27;srednie miasto
Przybylska;Laura;1983-02-25;srednie miasto
Monachijski;Piotr;1991-11-26;srednie miasto
Cender;Urszula;1985-03-05;srednie miasto
Badowski;Bogdan;1947-06-29;srednie miasto
Mazurowski;Janusz;1991-03-24;duze miasto
Lasota;Piotr;1971-06-09;duze miasto
Olczak;Damian;1946-12-08;duze miasto
Kolesinski;Konstanty;1971-03-27;duze miasto
Pakulski;Bogdan;1982-08-30;srednie miasto
Banasiak;Paulina;1981-03-23;wies
Bajdek;Katarzyna;1995-09-03;male miasto
Chojnacka;Monika;1963-10-25;wies
Karpowicz;Anna;1945-03-02;srednie miasto
Korcela;Marta;1954-05-28;duze miasto
Deska;Ewa;1971-03-26;srednie miasto
Krencik;Maciej;1968-09-29;male miasto
Nawrot;Janusz;1991-06-22;wies
Legnicka;Karolina;1984-10-14;duze miasto
Wenecka;Justyna;1953-01-09;duze miasto
Kaleta;Natalia;1964-10-18;male miasto
Samarskyi;Kostiantyn;1954-05-07;duze miasto
Tkacz;Adam;1948-12-29;wies
Borsuk;Magdalena;1968-07-26;duze miasto
Anusz;Anna;1950-04-14;duze miasto
Trzebnicka;Anna;1959-03-21;srednie miasto
Bardzio;Celina;1944-01-04;male miasto
Firlej;Anna;1983-11-20;srednie miasto
Sadcza;Romuald;1959-03-24;duze miasto
Uniejewski;Tobiasz;1962-07-16;srednie miasto
Iwaszko;Katarzyna;1962-10-25;duze miasto
Rutkowski;Sebastian;1979-01-01;srednie miasto
Kubiak;Aleksandra;1975-04-26;wies
Krakowska;Karolina;1967-09-29;duze miasto
Uss;Adrian;1973-02-08;male miasto
Zasada;Joanna;1951-08-07;srednie miasto
Majka;Danuta;1992-10-22;duze miasto
Kaczmar;Monika;1995-03-15;duze miasto
Adamczyk;Irena;1979-03-15;srednie miasto
Jasiak;Monika;1948-03-20;male miasto
Sosnowski;Arkadiusz;1971-03-10;duze miasto
Bydgoska;Karolina;1946-09-05;duze miasto
Szulgo;Marek;1948-08-12;srednie miasto
Szczygielski;Tadeusz;1982-07-23;srednie miasto
Magierowicz;Patryk;1962-04-22;male miasto
Biegaj;Karolina;1948-10-24;srednie miasto
Boss;Anna;1944-04-06;srednie miasto
Rusu;Siergiu;1987-12-07;srednie miasto
Lipski;Adam;1955-08-31;duze miasto
Milcarz;Maciej;1953-01-16;srednie miasto
Czarnoleska;Patrycja;1995-04-29;duze miasto
Rejkowicz;Maria;1965-02-02;wies
Rybicka;Martyna;1980-05-30;duze miasto
Gajak;Agnieszka;1974-12-07;duze miasto
Zakowicz;Kacper;1952-02-08;srednie miasto
Chorzowska;Paulina;1975-03-22;duze miasto
Belgracka;Karolina;1956-09-21;srednie miasto
Paszewski;Piotr;1960-10-17;male miasto
Wielogorski;Karol;1947-07-28;duze miasto
Kowalczyk;Karol;1993-11-07;male miasto
Marzec;Maciej;1970-09-10;male miasto
Kaczan;Ewa;1955-06-02;male miasto
Cichocka;Anna;1969-07-31;duze miasto
Wichrowa;Ewa;1952-02-24;wies
Wpawska;Barbara;1951-07-02;duze miasto
Bugajska;Julia;1946-09-27;male miasto
Adaszek;Barbara;1991-02-08;srednie miasto
Mielecka;Joanna;1946-07-04;srednie miasto
Radu;Daniel;1991-06-19;male miasto
Chorzowska;Joanna;1968-08-20;srednie miasto
Szymenderski;Olaf;1993-05-11;male miasto
Adamczyk;Karolina;1953-06-12;wies
Banasik;Zofia;1974-09-12;wies
Kostrzewa;Piotr;1974-11-14;duze miasto
Gazda;Alicja;1956-06-12;duze miasto
Lubelska;Justyna;1952-09-19;duze miasto
Grabowska;Klaudia;1959-12-14;duze miasto
Talaska;Marcin;1946-03-12;duze miasto
Lewandowski;Bartosz;1995-07-13;srednie miasto
Durka;Kornelia;1943-11-18;duze miasto
Krynicka;Justyna;1991-07-27;srednie miasto
Baran;Leon;1951-09-21;srednie miasto
Pleszewska;Patrycja;1988-03-17;duze miasto
Kika;Marcelina;1986-12-25;wies
Legnicka;Maryla;1983-11-13;male miasto
Kijowski;Wojciech;1993-07-27;male miasto
Antczak;Klaudia;1991-02-12;duze miasto
Krakowska;Teresa;1959-12-13;duze miasto
Suwalska;Paulina;1950-12-07;male miasto
Karwatowska;Marzena;1951-10-09;duze miasto
Sofijska;Ewa;1946-09-11;wies
Sadecki;Andrzej;1961-12-04;wies
Podlaska;Paulina;1954-01-16;duze miasto
Augustowska;Zofia;1966-04-25;srednie miasto
Piotrkowska;Paulina;1947-01-29;male miasto
Sopocka;Karolina;1987-08-24;duze miasto
Piotrkowska;Katarzyna;1964-10-29;duze miasto
Krakowska;Beata;1971-11-02;duze miasto
Kalinowski;Szymon;1984-04-02;srednie miasto
Rzymski;Robert;1970-09-07;srednie miasto
Kowalik;Malgorzata;1945-04-02;male miasto
Bajda;Ewelina;1983-08-02;male miasto
Kapala;Adrian;1986-07-08;duze miasto
Szklarska;Marzena;1977-10-29;duze miasto
Jagos;Wioletta;1963-05-08;duze miasto
Szklarska;Dominika;1981-10-02;duze miasto
Bolkowski;Jan;1989-02-06;male miasto
Barszcz;Patryk;1980-05-20;duze miasto
Kot;Maciej;1948-08-27;male miasto
Junak;Roxana;1978-03-31;srednie miasto
Setniewska;Wiktoria;1957-11-30;male miasto
Hajkiewicz;Justyna;1949-10-12;duze miasto
Balcerzak;Ilona;1956-06-24;srednie miasto
Litewka;Maciej;1994-01-30;duze miasto
Kotala;Anna;1970-01-14;srednie miasto
Aronowska;Halina;1980-05-09;duze miasto
Katowicka;Dorota;1959-06-03;srednie miasto
Bitner;Halina;1955-12-13;duze miasto
Sochacki;Marcin;1967-01-03;duze miasto
Skrok;Arkadiusz;1973-04-19;srednie miasto
Bartosiak;Kazimiera;1948-05-15;duze miasto
Siedlecka;Rozalia;1947-08-03;duze miasto
Muchewicz;Piotr;1946-06-23;srednie miasto
Pilipczuk;Mariusz;1992-06-24;male miasto
