id_klienta	imie	nazwisko
Y1	Adam	Ant
Y2	Iwan	Krepotkin
Y3	Karol	Nowak
Y4	Bert	Lancaster
Y5	Jozef	Cukerberg
Y6	Marcin	Marecki
Y7	Piotr	Stolarz
Y8	Pawel	Lisiecki
Y9	Jiri	Prohota
Y10	Zygfryd	Johannson
Y11	Morgan	Ferbanks
Y12	Aleksander	Rabsztyn
Y13	Jan	Delima
Y14	Patryk	Stainer
Y15	Jonatan	Goldberg
Y16	Moses	Khun
Y17	Jerzy	Walenty
Y18	Ludwik	Kosecki
Y19	Andrzej	Brom
Y20	Karol	Nechrebecki
Y21	Ahmed	Farhad
Y22	Aleksander	Moskal
Y23	Max	Teufel
Y24	Jacek	Sanguszko
Y25	Krzysztof	Gibalski
Y26	Boleslaw	Nieborowski
Y27	Igor	Strawinski
Y28	Sven	Beorgson
Y29	Bronislaw	Wycisk
Y30	Zwonimir	Kusturica
Y31	Dariusz	Lorek
Y32	Manfred	Gintrowski
Y33	Karel	Cech
Y34	Arnold	Gross
Y35	George	Georgiadze
Y36	Marek	Tuwim
Y37	Kazimierz	Podolski
Y38	Adriano	Pacelli
Y39	Gero	Hunterweigen
Y40	Ivo	Markovic
Y41	Bogdan	Pamuk
Y42	Kurt	Sommerfeld
Y43	Robert	Szalecki
Y44	Kajetan	Chrumps
Y45	John	Fox
Y46	Olaf	Gliwicki
Y47	Oleg	Buriak
Y48	Georg	Delft
Y49	Denis	Koch
Y50	Jozef	Kowalski
Y51	Johan	Bor
Y52	Enrico	Escoban
Y53	Bartolomeo	Pasqualle
Y54	Giorgios	Costatinos
Y55	Artur	Doille
Y56	Brandon	Johnson
Y57	Vladimir	Cosma
Y58	Iwan	Hawryluk
Y59	Borys	Bierezowski
Y60	John	Brax
Y61	Luis	Valois
Y62	Piotr	Planchet
Y63	Maciej	Niedorzeczny
Y64	Juliusz	Malinowski
Y65	Artur	Palatek
Y66	Paul	Neuman
Y67	Albert	Graf
Y68	Edward	Werski
Y69	Jan	Kowalski
Y70	Robert	Workucki
Y71	Michal	Cabeanu
Y72	Andrzej	Mastalerz
Y73	Miroslaw	Czort
Y74	Michal	Persen
Y75	Dymitrios	Geriakis
Y76	Tymon	Neuf
Y77	Henry	Grand
Y78	Werner	Braun
Y79	Mikos	Anastopullos
Y80	Marco	Veronese
Y81	Henryk	Borowski
Y82	Arpad	Gabor
Y83	Janos	Kusak
Y84	Edward	Neuman
Y85	Jan	Meinfield
Y86	Franciszek	Gola
Y87	Leonard	Czarny
Y88	Wiktor	Kwiatkowski
Y89	Max	Weber
Y90	Peter	Cosma
X1	Beata	Korek
X2	Dorota	Eskoban
X3	Maggie	Really
X4	Stefania	Simpson
X5	Maria	Kierenska
X6	Maria	Fitelberg
X7	Julia	Ficek
X8	Beata	Moszynska
X9	Anna	Czerpka
X10	Aneta	Broda
X11	Sylwia	Fidyk
X12	Cecylia	Platter
X13	Marta	Surmaczewska
X14	Maia	Shmidt
X15	Weronika	Biala
X16	Maria	Majakowska
X17	Margaret	Radetzky
X18	Indira	Szukrukchan
X19	Fiona	Rothe
X20	Matilde	Essenbaum
X21	Aleksandra	Kuzmina
X22	Margaret	Zurrbrigen
X23	Daria	Nord
X24	Bianca	Torreti
X25	Gabriela	Lacetti
X26	Sandra	Fidyk
X27	Marta	Orkievicius
X28	Fiona	Zelde
X29	Monica	Fantutti
X30	Magdalena	Bien
X31	Hanna	Ascot
X32	Agnieszka	Palasz
X33	Honorata	Ludwiczewska
X34	Inez	Fischer
X35	Lidia	Tyc
X36	Nadia	Komarzewska
X37	Weronica	Girnowska
X38	Renata	Krawczyk
X39	Wiktoria	Mosor
X40	Emmanuelle	Gerone
X41	Naskia	Majakowska
X42	Jasmin	Musafi
X43	Oksana	Ditrich
X44	Karolina	Suminska
X45	Walerie	Karotka
X46	Katarzyna	Jarecka
X47	Katarzyna	Lewicka
X48	Nadia	Hawryluk
X49	Maria	Johannson
X50	Magda	Gruzin
X51	Malgorzata	Ostawska
X52	Naskia	Dorn
X53	Genowefa	Orszalik
X54	Anna	Kwasek
X55	Alicja	Kowalska
X56	Natasza	Uspienska
X57	Marta	Hagen
X58	Bianca	Gelati
X59	Rita	Fogel
X60	Beata	Bar
X61	Monica	Bartolomeo
X62	Zuzanna	Mincerz
X63	Daria	Comber
X64	Electra	Anastopullos
X65	Maria	Uliasz
X66	Anna	Karenina
X67	Veronica	Kowalska
X68	Nerinka	Diwan
X69	Cecylia	Platek
X70	Kunegunda	Weiss
X71	Nalia	Orzel
X72	Mariola	Sosna
X73	Genowefa	Posmyk
X74	Natasza	Ford
X75	Helena	Letocha
X76	Dorota	Niedbala
