Id	Nazwisko	Imie	Wiek	Wyksztalcenie	Dochod	Wojewodztwo
1	Adamczuk	Magdalena	69	wyzsze	3500	Pomorskie
2	Adamczyk	Urszula	41	wyzsze	2250	Slaskie
3	Adamowicz	Jakub	34	srednie	2550	Swietokrzyskie
4	Anielska	Ewelina	34	srednie	3890	Warminsko - Mazurskie
5	Antoniuk	Izabela	36	wyzsze	2850	Wielkopolskie
6	Arciszewski	Piotr	29	wyzsze	2050	Zachodniopomorskie
7	Awacka	Izabela	58	podstawowe	2550	Mazowieckie
8	Babul	Julia	33	wyzsze	2200	Opolskie
9	Baranczuk	Adam	78	podstawowe	2200	Podkarpackie
10	Bartnik	Anna	46	wyzsze	2200	Wielkopolskie
11	Bartoszewicz	Michal	76	podstawowe	2550	Pomorskie
12	Bielecki	Grzegorz	60	podstawowe	2050	Slaskie
13	Bielonko	Sylwia	74	podstawowe	2270	Swietokrzyskie
14	Biendzio	Ernest	35	srednie	2730	Dolnoslaskie
15	Bierylo	Sylwia	33	srednie	2850	Kujawsko - Pomorskie
16	Bobowik	Maria	61	wyzsze	4200	Lubelskie
17	Bobrowska	Karolina	63	wyzsze	2730	Lubuskie
18	Bojanowska	Iwona	46	podstawowe	2900	Lodzkie
19	Borowska	Elzbieta	79	wyzsze	2550	Malopolskie
20	Borowska	Anna	57	srednie	3500	Malopolskie
21	Borowski	Adam	29	srednie	2730	Mazowieckie
22	Borsztejn	Marek	48	srednie	4200	Mazowieckie
23	Bruczko	Anna	42	wyzsze	4100	Malopolskie
24	Bruszewska	Izabela	79	wyzsze	3790	Mazowieckie
25	Budnik	Katarzyna	41	podstawowe	2450	Dolnoslaskie
26	Bujda	Malgorzata	46	srednie	3640	Kujawsko - Pomorskie
27	Buraczewska	Marta	69	wyzsze	4100	Lubelskie
28	Busma	Sebastian	61	wyzsze	2450	Lubuskie
29	Choruzy	Iwona	29	srednie	2900	Dolnoslaskie
30	Chudecki	Wieslaw	75	podstawowe	2100	Warminsko - Mazurskie
31	Chudy	Piotr	46	podstawowe	2450	Kujawsko - Pomorskie
32	Ciereszko	Julia	43	wyzsze	2270	Wielkopolskie
33	Cylwik	Magdalena	71	podstawowe	4250	Zachodniopomorskie
34	Czajewska	Marta	67	srednie	2450	Pomorskie
35	Czarnecka	Ewelina	35	srednie	2950	Slaskie
36	Czuz	Urszula	64	podstawowe	3640	Pomorskie
37	Danielski	Piotr	48	podstawowe	3640	Slaskie
38	Dabrowska	Ewa	36	podstawowe	2050	Pomorskie
39	Deptula	Pawel	29	wyzsze	3378	Slaskie
40	Dojlidko	Anna	58	podstawowe	2378	Pomorskie
41	Dymnicka	Ewelina	61	podstawowe	5200	Pomorskie
42	Dziegielewska	Barbara	79	wyzsze	2000	Pomorskie
43	Falkowski	Tomasz	42	podstawowe	3000	Kujawsko - Pomorskie
44	Fiedorowicz	Wojciech	78	podstawowe	1900	Lubelskie
45	Fiedoruk	Krzysztof	60	podstawowe	2200	Lubuskie
46	Fiedoruk	Grzegorz	69	srednie	1920	Dolnoslaskie
47	Frankowski	Adrian	60	srednie	3890	Zachodniopomorskie
48	Gabinska	Karolina	45	podstawowe	2450	Mazowieckie
49	Garncarz	Zbigniew	74	wyzsze	2730	Opolskie
50	Gawkowski	Piotr	67	wyzsze	2920	Podkarpackie
51	Gasowski	lukasz	48	srednie	2270	Wielkopolskie
52	Gilewska	Dorota	32	wyzsze	4200	Pomorskie
53	Glebowicz	Kamil	41	srednie	3910	Slaskie
54	Glowacka	Kamila	72	srednie	2570	Swietokrzyskie
55	Gogiel	Adrian	70	srednie	2587	Dolnoslaskie
56	Golebiewski	Michal	73	podstawowe	3780	Kujawsko - Pomorskie
57	Gradzki	Waclaw	36	srednie	2100	Lubelskie
58	Grochowski	Adam	35	podstawowe	3300	Lubuskie
59	Gruszewicz	Magdalena	42	srednie	2300	Lodzkie
60	Grygolec	Marek	61	podstawowe	2270	Dolnoslaskie
61	Haas	Mateusz	39	wyzsze	2850	Zachodniopomorskie
62	Hajduczenia	Katarzyna	37	podstawowe	2200	Mazowieckie
63	Hoscilowicz	Piotr	43	podstawowe	2270	Dolnoslaskie
64	Hryniewicz	Anna	65	podstawowe	4200	Zachodniopomorskie
65	Hrynkiewicz	Agnieszka	30	podstawowe	1730	Mazowieckie
66	Instynski	Tomasz	40	wyzsze	1840	Dolnoslaskie
67	Iwaniuk	Anna	30	wyzsze	2950	Zachodniopomorskie
68	Iwaszczuk	Andrzej	56	srednie	3640	Mazowieckie
69	Jakoniuk	Agnieszka	49	srednie	3640	Mazowieckie
70	Jakubowski	lukasz	38	podstawowe	2920	Mazowieckie
71	Janasz	Michal	63	wyzsze	2540	Mazowieckie
72	Jankowska	Justyna	64	srednie	2270	Mazowieckie
73	Jankowski	Marek	43	podstawowe	2000	Mazowieckie
74	Jaromin	Jacek	34	wyzsze	2450	Dolnoslaskie
75	Jaros	Anna	31	podstawowe	3600	Zachodniopomorskie
76	Jasinski	Marcin	51	srednie	3890	Mazowieckie
77	Jasiukiewicz	Elwira	29	wyzsze	2250	Dolnoslaskie
78	Jefimiuk	Krzysztof	49	podstawowe	1640	Zachodniopomorskie
