IdUcznia;Imie;Nazwisko;IdKlasy
1;Mariusz;Koprowski;3e
2;Maciej;Machol;3a
3;Nikodem;Janczynski;3e
4;Julia;Sachse;4d
5;Leon;Markowiak;1e
6;Stanislaw;Cieslik;3d
7;Pawel;Krol;2c
8;Marcin;Garan;3b
9;Emilia;Szczuplinska;2b
10;Filip;Spychala;2c
11;Sebastian;Domanski;1a
12;Maja;Tomaszewska;3c
13;Julia;Sautycz;1c
14;Mateusz;Witkowski;1c
15;Hanna;Wrobel;1b
16;Jan;Pistek;3a
17;Aleksander;Joda;3b
18;Mateusz;Kordas;4e
19;Krystian;Abacki;2a
20;Alan;Dabrowski;3a
21;Kacper;Olczak;2d
22;Maria;Cieczorek;2c
23;Kamila;Hejnoga;2b
24;Filip;Strehlke;3e
25;Marcin;Kutnik;2d
26;Hubert;Sikora;2a
27;Filip;Strupiechowski;1d
28;Natalia;Godecka;1a
29;Aleks;Wojcik;1d
30;Oliwier;Tomacki;4e
31;Anna;Tomaszewska;3a
32;Alan;Wojcikowski;1b
33;Mikolaj;Jurczak;1d
34;Jan;Majewski;3d
35;Martyna;Kocur;3e
36;Antoni;Wierzbicki;3e
37;Oskar;Grubba;3c
38;Wojciech;Aniol;2d
39;Agata;Zdrojewska;3a
40;Bruno;Tomaszewski;2a
41;Lucyna;Krawczyk;3a
42;Lukasz;Malinowski;3a
43;Bartosz;Morski;3d
44;Maria;Kowalczuk;1d
45;Bogdan;Hrywniak;2b
46;Marta;Korbus;1c
47;Amelia;Nowakowska;1c
48;Jakub;Rembiewski;3b
49;Alan;Kozlowski;4e
50;Julia;Rutkiewicz;1e
51;Jan;Pinker;1d
52;Marta;Witkowska;2b
53;Urszula;Engel;2c
54;Dorian;Szczepkowski;3d
55;Mikolaj;Beniuszys;1a
56;Igor;Rybienik;4e
57;Maja;Kurowska;3a
58;Adrian;Wydrzynski;4e
59;Julia;Samulczyk;1d
60;Alan;Darkowski;1a
61;Barbara;Kaczmarek;2a
62;Lena;Miszkin;3e
63;Marika;Kossakowska;2a
64;Sandra;Florek;1c
65;Krzysztof;Michalak;3d
66;Piotr;Duszota;3d
67;Jan;Piwowarek;1c
68;Bartosz;Waclawski;4e
69;Filip;Adamczyk;3b
70;Alan;Wojcik;1c
